,name,tags,emoji
443,man bald light skin tone,"['man', 'bald', 'light', 'skin', 'tone']",?維?琉??낆쑆?
444,man bald medium light skin tone,"['man', 'bald', 'medium', 'light', 'skin', 'tone']",?維?琉??낆쑆?
445,man bald medium skin tone,"['man', 'bald', 'medium', 'skin', 'tone']",?維?琉??낆쑆?
446,man bald medium dark skin tone,"['bald', 'medium', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
447,man bald dark skin tone,"['dark', 'skin', 'tone']",?維?琉??낆쑆?
448,woman,['woman'],?維?
449,woman,['woman'],?維?琉?
450,woman,['woman'],?維?琉?
451,woman,['woman'],?維?琉?
452,woman,['woman'],?維?琉?
453,woman,['woman'],?維?琉?
454,blonde woman,"['blonde', 'woman']",?維?????
455,blonde woman type 1 2,"['blonde', 'woman', 'type']",?維?琉?????
456,blonde woman type 3,"['blonde', 'woman', 'type']",?維?琉?????
457,blonde woman type 4,"['blonde', 'woman', 'type']",?維?琉?????
458,blonde woman type 5,"['blonde', 'woman', 'type']",?維?琉?????
459,blonde woman type 6,"['blonde', 'woman', 'type']",?維?琉?????
460,woman red haired,"['woman', 'red', 'haired']",?維??낆쑆?
461,woman red haired light skin tone,"['woman', 'red', 'haired', 'light', 'skin', 'tone']",?維?琉??낆쑆?
462,woman red haired medium light skin tone,"['woman', 'red', 'haired', 'medium', 'light', 'skin', 'tone']",?維?琉??낆쑆?
463,woman red haired medium skin tone,"['woman', 'red', 'haired', 'medium', 'skin', 'tone']",?維?琉??낆쑆?
464,woman red haired medium dark skin tone,"['woman', 'red', 'haired', 'medium', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
465,woman red haired dark skin tone,"['woman', 'red', 'haired', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
466,woman curly haired,"['woman', 'curly', 'haired']",?維??낆쑆?
467,woman curly haired light skin tone,"['woman', 'curly', 'haired', 'light', 'skin', 'tone']",?維?琉??낆쑆?
468,woman curly haired medium light skin tone,"['woman', 'curly', 'haired', 'medium', 'light', 'skin', 'tone']",?維?琉??낆쑆?
469,woman curly haired medium skin tone,"['woman', 'curly', 'haired', 'medium', 'skin', 'tone']",?維?琉??낆쑆?
470,woman curly haired medium dark skin tone,"['woman', 'curly', 'haired', 'medium', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
471,woman curly haired dark skin tone,"['woman', 'curly', 'haired', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
472,woman white haired,"['woman', 'white', 'haired']",?維??낆쑆?
473,woman white haired light skin tone,"['woman', 'white', 'haired', 'light', 'skin', 'tone']",?維?琉??낆쑆?
474,woman white haired medium light skin tone,"['woman', 'white', 'haired', 'medium', 'light', 'skin', 'tone']",?維?琉??낆쑆?
475,woman white haired medium skin tone,"['woman', 'white', 'haired', 'medium', 'skin', 'tone']",?維?琉??낆쑆?
476,woman white haired medium dark skin tone,"['woman', 'white', 'haired', 'medium', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
477,woman white haired dark skin tone,"['woman', 'white', 'haired', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
478,woman bald,"['woman', 'bald']",?維??낆쑆?
479,woman bald light skin tone,"['woman', 'bald', 'light', 'skin', 'tone']",?維?琉??낆쑆?
480,woman bald medium light skin tone,"['woman', 'bald', 'medium', 'light', 'skin', 'tone']",?維?琉??낆쑆?
481,woman bald medium skin tone,"['woman', 'bald', 'medium', 'skin', 'tone']",?維?琉??낆쑆?
482,woman bald medium dark skin tone,"['woman', 'bald', 'medium', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
483,woman bald dark skin tone,"['woman', 'bald', 'dark', 'skin', 'tone']",?維?琉??낆쑆?
484,older adult,"['older', 'adult']",?彛?
485,older adult,"['older', 'adult']",?彛?琉?
486,older adult,"['older', 'adult']",?彛?琉?
487,older adult,"['older', 'adult']",?彛?琉?
488,older adult,"['older', 'adult']",?彛?琉?
489,older adult,"['older', 'adult']",?彛?琉?
490,older man,"['older', 'man']",?維?
491,older man,"['older', 'man']",?維?琉?
492,older man,"['older', 'man']",?維?琉?
493,older man,"['older', 'man']",?維?琉?
494,older man,"['older', 'man']",?維?琉?
495,older man,"['older', 'man']",?維?琉?
496,older woman,"['older', 'woman']",?維?
497,older woman,"['older', 'woman']",?維?琉?
498,older woman,"['older', 'woman']",?維?琉?
499,older woman,"['older', 'woman']",?維?琉?
500,older woman,"['older', 'woman']",?維?琉?
501,older woman,"['older', 'woman']",?維?琉?
502,person frowning,"['person', 'frowning']",???
503,person frowning,"['person', 'frowning']",???琉?
504,person frowning,"['person', 'frowning']",???琉?
505,person frowning,"['person', 'frowning']",???琉?
506,person frowning,"['person', 'frowning']",???琉?
507,person frowning,"['person', 'frowning']",???琉?
508,man frowning,"['man', 'frowning']",?????끋??
509,man frowning type 1 2,"['man', 'frowning', 'type']",???琉???끋??
510,man frowning type 3,"['man', 'frowning', 'type']",???琉???끋??
511,man frowning type 4,"['man', 'frowning', 'type']",???琉???끋??
512,man frowning type 6,"['man', 'frowning', 'type']",???琉???끋??
513,man frowning type 5,"['man', 'frowning', 'type']",???琉???끋??
514,woman frowning,"['woman', 'frowning']",???????
515,woman frowning type 1 2,"['woman', 'frowning', 'type']",???琉?????
516,woman frowning type 3,"['woman', 'frowning', 'type']",???琉?????
517,woman frowning type 4,"['woman', 'frowning', 'type']",???琉?????
518,woman frowning type 5,"['woman', 'frowning', 'type']",???琉?????
519,woman frowning type 6,"['woman', 'frowning', 'type']",???琉?????
520,person with pouting face,"['person', 'pouting', 'face']",???
521,person with pouting face,"['person', 'pouting', 'face']",???琉?
522,person with pouting face,"['person', 'pouting', 'face']",???琉?
523,person with pouting face,"['person', 'pouting', 'face']",???琉?
524,person with pouting face,"['person', 'pouting', 'face']",???琉?
525,person with pouting face,"['person', 'pouting', 'face']",???琉?
526,man pouting,"['man', 'pouting']",?????끋??
527,man pouting type 1 2,"['man', 'pouting', 'type']",???琉???끋??
528,man pouting type 3,"['man', 'pouting', 'type']",???琉???끋??
529,man pouting type 4,"['man', 'pouting', 'type']",???琉???끋??
530,man pouting type 5,"['man', 'pouting', 'type']",???琉???끋??
531,man pouting type 6,"['man', 'pouting', 'type']",???琉???끋??
532,woman pouting,"['woman', 'pouting']",???????
533,woman pouting type 1 2,"['woman', 'pouting', 'type']",???琉?????
534,woman pouting type 3,"['woman', 'pouting', 'type']",???琉?????
535,woman pouting type 4,"['woman', 'pouting', 'type']",???琉?????
536,woman pouting type 5,"['woman', 'pouting', 'type']",???琉?????
537,woman pouting type 6,"['woman', 'pouting', 'type']",???琉?????
538,face with no good gesture,"['good', 'gesture']",??
539,face with no good gesture,"['good', 'gesture']",???琉?
540,face with no good gesture,"['good', 'gesture']",???琉?
541,face with no good gesture,"['good', 'gesture']",???琉?
542,face with no good gesture,"['good', 'gesture']",???琉?
543,face with no good gesture,"['good', 'gesture']",???琉?
544,man gesturing not ok,"['man', 'gesturing', 'ok']",?????끋??
545,man gesturing not ok type 1 2,"['man', 'gesturing', 'ok', 'type']",???琉???끋??
546,man gesturing not ok type 3,"['man', 'gesturing', 'ok', 'type']",???琉???끋??
547,man gesturing not ok type 4,"['man', 'gesturing', 'ok', 'type']",???琉???끋??
548,man gesturing not ok type 5,"['man', 'gesturing', 'ok', 'type']",???琉???끋??
549,man gesturing not ok type 6,"['man', 'gesturing', 'ok', 'type']",???琉???끋??
550,woman gesturing not ok,"['woman', 'gesturing', 'ok']",???????
551,woman gesturing not ok type 1 2,"['woman', 'gesturing', 'ok', 'type']",???琉?????
552,woman gesturing not ok type 3,"['woman', 'gesturing', 'ok', 'type']",???琉?????
553,woman gesturing not ok type 4,"['woman', 'gesturing', 'ok', 'type']",???琉?????
554,woman gesturing not ok type 5,"['woman', 'gesturing', 'ok', 'type']",???琉?????
555,woman gesturing not ok type 6,"['woman', 'gesturing', 'ok', 'type']",???琉?????
556,face with ok gesture,"['face', 'gesture']",???
557,face with ok gesture,"['face', 'gesture']",???琉?
558,face with ok gesture,"['face', 'gesture']",???琉?
559,face with ok gesture,"['face', 'gesture']",???琉?
560,face with ok gesture,"['face', 'gesture']",???琉?
561,face with ok gesture,"['face', 'gesture']",???琉?
562,man gesturing ok,"['man', 'gesturing', 'ok']",?????끋??
563,man gesturing ok type 1 2,"['man', 'gesturing', 'ok', 'type']",???琉???끋??
564,man gesturing ok type 3,"['man', 'gesturing', 'ok', 'type']",???琉???끋??
565,man gesturing ok type 4,"['man', 'gesturing', 'ok', 'type']",???琉???끋??
566,man gesturing ok type 5,"['man', 'gesturing', 'ok', 'type']",???琉???끋??
567,man gesturing ok type 6,"['man', 'gesturing', 'ok', 'type']",???琉???끋??
568,woman gesturing ok,"['woman', 'gesturing', 'ok']",???????
569,woman gesturing ok type 1 2,"['woman', 'gesturing', 'ok', 'type']",???琉?????
570,woman gesturing ok type 3,"['woman', 'gesturing', 'ok', 'type']",???琉?????
571,woman gesturing ok type 4,"['woman', 'gesturing', 'ok', 'type']",???琉?????
572,woman gesturing ok type 5,"['woman', 'gesturing', 'ok', 'type']",???琉?????
573,woman gesturing ok type 6,"['woman', 'gesturing', 'ok', 'type']",???琉?????
574,information desk person,"['information', 'desk', 'person']",?萸?
575,information desk person,"['information', 'desk', 'person']",?萸?琉?
576,information desk person,"['information', 'desk', 'person']",?萸?琉?
577,information desk person,"['information', 'desk', 'person']",?萸?琉?
578,information desk person,"['information', 'desk', 'person']",?萸?琉?
579,information desk person,"['information', 'desk', 'person']",?萸?琉?
580,man tipping hand,"['man', 'tipping', 'hand']",?萸???끋??
581,man tipping hand type 1 2,"['man', 'tipping', 'hand', 'type']",?萸?琉???끋??
582,man tipping hand type 3,"['man', 'tipping', 'hand', 'type']",?萸?琉???끋??
583,man tipping hand type 4,"['man', 'tipping', 'hand', 'type']",?萸?琉???끋??
584,man tipping hand type 5,"['man', 'tipping', 'hand', 'type']",?萸?琉???끋??
585,man tipping hand type 6,"['man', 'tipping', 'hand', 'type']",?萸?琉???끋??
586,woman tipping hand,"['woman', 'tipping', 'hand']",?萸?????
587,woman tipping hand type 1 2,"['woman', 'tipping', 'hand', 'type']",?萸?琉?????
588,woman tipping hand type 3,"['woman', 'tipping', 'hand', 'type']",?萸?琉?????
589,woman tipping hand type 4,"['woman', 'tipping', 'hand', 'type']",?萸?琉?????
590,woman tipping hand type 5,"['woman', 'tipping', 'hand', 'type']",?萸?琉?????
591,woman tipping hand type 6,"['woman', 'tipping', 'hand', 'type']",?萸?琉?????
592,man raising hand,"['man', 'raising', 'hand']",?????끋??
593,man raising hand type 1 2,"['man', 'raising', 'hand', 'type']",???琉???끋??
594,man raising hand type 3,"['man', 'raising', 'hand', 'type']",???琉???끋??
595,man raising hand type 4,"['man', 'raising', 'hand', 'type']",???琉???끋??
596,man raising hand type 5,"['man', 'raising', 'hand', 'type']",???琉???끋??
597,man raising hand type 6,"['man', 'raising', 'hand', 'type']",???琉???끋??
598,happy person raising one hand,"['happy', 'person', 'raising', 'hand']",???
599,happy person raising one hand,"['happy', 'person', 'raising', 'hand']",???琉?
600,happy person raising one hand,"['happy', 'person', 'raising', 'hand']",???琉?
601,happy person raising one hand,"['happy', 'person', 'raising', 'hand']",???琉?
602,happy person raising one hand,"['happy', 'person', 'raising', 'hand']",???琉?
603,happy person raising one hand,"['happy', 'person', 'raising', 'hand']",???琉?
604,woman raising hand,"['woman', 'raising', 'hand']",???????
605,woman raising hand type 1 2,"['woman', 'raising', 'hand', 'type']",???琉?????
606,woman raising hand type 3,"['woman', 'raising', 'hand', 'type']",???琉?????
607,woman raising hand type 4,"['woman', 'raising', 'hand', 'type']",???琉?????
608,woman raising hand type 5,"['woman', 'raising', 'hand', 'type']",???琉?????
609,woman raising hand type 6,"['woman', 'raising', 'hand', 'type']",???琉?????
610,person bowing deeply,"['person', 'bowing', 'deeply']",???
611,person bowing deeply,"['person', 'bowing', 'deeply']",???琉?
612,person bowing deeply,"['person', 'bowing', 'deeply']",???琉?
613,person bowing deeply,"['person', 'bowing', 'deeply']",???琉?
614,person bowing deeply,"['person', 'bowing', 'deeply']",???琉?
615,person bowing deeply,"['person', 'bowing', 'deeply']",???琉?
616,man bowing deeply,"['man', 'bowing', 'deeply']",?????끋??
617,man bowing deeply type 1 2,"['man', 'bowing', 'deeply', 'type']",???琉???끋??
618,man bowing deeply type 3,"['man', 'bowing', 'deeply', 'type']",???琉???끋??
619,man bowing deeply type 4,"['man', 'bowing', 'deeply', 'type']",???琉???끋??
620,man bowing deeply type 5,"['man', 'bowing', 'deeply', 'type']",???琉???끋??
621,man bowing deeply type 6,"['man', 'bowing', 'deeply']",???琉???끋??
622,woman bowing deeply,"['woman', 'bowing', 'deeply']",???????
623,woman bowing deeply type 1 2,"['woman', 'bowing', 'deeply', 'type']",???琉?????
624,woman bowing deeply type 3,"['woman', 'bowing', 'deeply', 'type']",???琉?????
625,woman bowing deeply type 4,"['woman', 'bowing', 'deeply', 'type']",???琉?????
626,woman bowing deeply type 5,"['woman', 'bowing', 'deeply']",???琉?????
627,woman bowing deeply type 6,"['woman', 'bowing', 'deeply']",???琉?????
628,face palm,"['face', 'palm']",???
629,face palm,"['face', 'palm']",???琉?
630,face palm,"['face', 'palm']",???琉?
631,face palm,"['face', 'palm']",???琉?
632,face palm,"['face', 'palm']",???琉?
633,face palm,"['face', 'palm']",???琉?
634,man facepalming,"['man', 'facepalming']",?????끋??
635,man facepalming type 1 2,"['man', 'facepalming', 'type']",???琉???끋??
636,man facepalming type 3,"['man', 'facepalming', 'type']",???琉???끋??
637,man facepalming type 4,"['man', 'facepalming', 'type']",???琉???끋??
638,man facepalming type 5,"['man', 'facepalming', 'type']",???琉???끋??
639,man facepalming type 6,"['man', 'facepalming', 'type']",???琉???끋??
640,woman facepalming,"['woman', 'facepalming']",???????
641,woman facepalming type 1 2,"['woman', 'facepalming', 'type']",???琉?????
642,woman facepalming type 3,"['woman', 'facepalming', 'type']",???琉?????
643,woman facepalming type 4,"['woman', 'facepalming', 'type']",???琉?????
644,woman facepalming type 5,"['woman', 'facepalming', 'type']",???琉?????
645,woman facepalming type 6,"['woman', 'facepalming', 'type']",???琉?????
646,shrug,[],???
647,shrug,[],???琉?
648,shrug,[],???琉?
649,shrug,[],???琉?
650,shrug,[],???琉?
651,shrug,[],???琉?
652,man shrugging,"['man', 'shrugging']",?????끋??
653,man shrugging type 1 2,"['man', 'shrugging', 'type']",???琉???끋??
654,man shrugging type 3,"['man', 'shrugging', 'type']",???琉???끋??
655,man shrugging type 4,"['man', 'shrugging', 'type']",???琉???끋??
656,man shrugging type 5,"['man', 'shrugging', 'type']",???琉???끋??
657,man shrugging type 6,"['man', 'shrugging', 'type']",???琉???끋??
658,woman shrugging,"['woman', 'shrugging']",???????
659,woman shrugging type 1 2,"['woman', 'shrugging', 'type']",???琉?????
660,woman shrugging type 3,"['woman', 'shrugging', 'type']",???琉?????
661,woman shrugging type 4,"['woman', 'shrugging', 'type']",???琉?????
662,woman shrugging type 5,"['woman', 'shrugging', 'type']",???琉?????
663,woman shrugging type 6,"['woman', 'shrugging', 'type']",???琉?????
664,male health worker,"['male', 'health', 'worker']",?維???뒅??
665,male health worker type 1 2,"['male', 'health', 'worker', 'type']",?維?琉???뒅??
666,male health worker type 3,"['male', 'health', 'worker', 'type']",?維?琉???뒅??
667,male health worker type 4,"['male', 'health', 'worker', 'type']",?維?琉???뒅??
668,male health worker type 5,"['male', 'health', 'worker', 'type']",?維?琉???뒅??
669,male health worker type 6,"['male', 'health', 'worker', 'type']",?維?琉???뒅??
670,female health worker,"['female', 'health', 'worker']",?維???뒅??
671,female health worker type 1 2,"['female', 'health', 'worker', 'type']",?維?琉???뒅??
672,female health worker type 3,"['female', 'health', 'worker', 'type']",?維?琉???뒅??
673,female health worker type 4,"['female', 'health', 'worker', 'type']",?維?琉???뒅??
674,female health worker type 5,"['female', 'health', 'worker', 'type']",?維?琉???뒅??
675,male student,"['male', 'student']",?維??낆쐝?
676,male student type 1 2,"['male', 'student', 'type']",?維?琉??낆쐝?
677,male student type 3,"['male', 'student', 'type']",?維?琉??낆쐝?
678,male student type 4,"['male', 'student', 'type']",?維?琉??낆쐝?
679,male student type 5,"['male', 'student', 'type']",?維?琉??낆쐝?
680,male student type 6,"['male', 'student', 'type']",?維?琉??낆쐝?
681,female student,"['female', 'student']",?維??낆쐝?
682,female student type 1 2,"['female', 'student', 'type']",?維?琉??낆쐝?
683,female student type 3,"['female', 'student', 'type']",?維?琉??낆쐝?
684,female student type 4,"['female', 'student', 'type']",?維?琉??낆쐝?
685,female student type 5,"['female', 'student', 'type']",?維?琉??낆쐝?
686,female student type 6,"['female', 'student', 'type']",?維?琉??낆쐝?
687,male teacher,"['male', 'teacher']",?維??낆쐠?
688,male teacher type 1 2,"['male', 'teacher', 'type']",?維?琉??낆쐠?
689,male teacher type 3,"['male', 'teacher']",?維?琉??낆쐠?
690,male teacher type 4,"['male', 'teacher']",?維?琉??낆쐠?
691,male teacher type 5,"['male', 'teacher']",?維?琉??낆쐠?
692,male teacher type 6,"['male', 'teacher', 'type']",?維?琉??낆쐠?
693,female teacher,"['female', 'teacher']",?維??낆쐠?
694,female teacher type 1 2,"['female', 'teacher', 'type']",?維?琉??낆쐠?
695,female teacher type 3,"['female', 'teacher', 'type']",?維?琉??낆쐠?
696,female teacher type 4,"['female', 'teacher', 'type']",?維?琉??낆쐠?
697,female teacher type 5,"['female', 'teacher', 'type']",?維?琉??낆쐠?
698,female teacher type 6,"['female', 'teacher', 'type']",?維?琉??낆쐠?
699,male judge,"['male', 'judge']",?維???뒆??
700,male judge type 1 2,"['male', 'judge', 'type']",?維?琉???뒆??
701,male judge type 3,"['male', 'judge']",?維?琉???뒆??
702,male judge type 4,"['male', 'judge']",?維?琉???뒆??
703,male judge type 5,"['male', 'judge']",?維?琉???뒆??
704,male judge type 6,"['male', 'judge', 'type']",?維?琉???뒆??
705,female judge,"['female', 'judge']",?維???뒆??
706,female judge type 1 2,"['female', 'judge', 'type']",?維?琉???뒆??
707,female judge type 3,"['female', 'judge', 'type']",?維?琉???뒆??
708,female judge type 4,"['female', 'judge', 'type']",?維?琉???뒆??
709,female judge type 5,"['female', 'judge', 'type']",?維?琉???뒆??
710,female judge type 6,"['female', 'judge', 'type']",?維?琉???뒆??
711,male farmer,"['male', 'farmer']",?維??낆쐛?
712,male farmer type 1 2,"['male', 'farmer', 'type']",?維?琉??낆쐛?
713,male farmer type 3,"['male', 'farmer', 'type']",?維?琉??낆쐛?
714,male farmer type 4,"['male', 'farmer', 'type']",?維?琉??낆쐛?
715,male farmer type 5,"['male', 'farmer', 'type']",?維?琉??낆쐛?
716,male farmer type 6,"['male', 'farmer', 'type']",?維?琉??낆쐛?
717,female farmer,"['female', 'farmer']",?維??낆쐛?
718,female farmer type 1 2,"['female', 'farmer', 'type']",?維?琉??낆쐛?
719,female farmer type 3,"['female', 'farmer', 'type']",?維?琉??낆쐛?
720,female farmer type 4,"['female', 'farmer', 'type']",?維?琉??낆쐛?
721,female farmer type 5,"['female', 'farmer', 'type']",?維?琉??낆쐛?
722,female farmer type 6,"['female', 'farmer', 'type']",?維?琉??낆쐛?
723,male cook,['cook'],?維??낆쐜?
724,male cook type 1 2,"['male', 'type']",?維?琉??낆쐜?
725,male cook type 3,"['male', 'type']",?維?琉??낆쐜?
726,male cook type 4,"['male', 'type']",?維?琉??낆쐜?
727,male cook type 5,"['male', 'cook', 'type']",?維?琉??낆쐜?
728,male cook type 6,"['male', 'type']",?維?琉??낆쐜?
729,female cook,"['female', 'cook']",?維??낆쐜?
730,female cook type 1 2,"['female', 'cook', 'type']",?維?琉??낆쐜?
731,female cook type 3,"['female', 'cook', 'type']",?維?琉??낆쐜?
732,female cook type 4,"['female', 'cook', 'type']",?維?琉??낆쐜?
733,female cook type 5,"['female', 'cook', 'type']",?維?琉??낆쐜?
734,female cook type 6,"['female', 'cook', 'type']",?維?琉??낆쐜?
735,male mechanic,"['male', 'mechanic']",?維??낆쐨?
736,male mechanic type 1 2,"['male', 'mechanic', 'type']",?維?琉??낆쐨?
737,male mechanic type 3,"['male', 'mechanic', 'type']",?維?琉??낆쐨?
738,male mechanic type 4,"['male', 'mechanic', 'type']",?維?琉??낆쐨?
739,male mechanic type 5,"['male', 'mechanic', 'type']",?維?琉??낆쐨?
740,male mechanic type 6,"['male', 'mechanic', 'type']",?維?琉??낆쐨?
741,female mechanic,"['female', 'mechanic']",?維??낆쐨?
742,female mechanic type 1 2,"['female', 'mechanic', 'type']",?維?琉??낆쐨?
743,female mechanic type 3,"['female', 'mechanic', 'type']",?維?琉??낆쐨?
744,female mechanic type 4,"['female', 'mechanic', 'type']",?維?琉??낆쐨?
745,female mechanic type 5,"['female', 'mechanic', 'type']",?維?琉??낆쐨?
746,female mechanic type 6,"['female', 'mechanic', 'type']",?維?琉??낆쐨?
747,male factory worker,"['male', 'factory', 'worker']",?維??낆쐠?
748,male factory worker type 1 2,"['male', 'factory', 'worker', 'type']",?維?琉??낆쐠?
749,male factory worker type 3,"['male', 'factory', 'worker', 'type']",?維?琉??낆쐠?
750,male factory worker type 4,"['male', 'factory', 'worker', 'type']",?維?琉??낆쐠?
751,male factory worker type 5,"['male', 'factory', 'worker', 'type']",?維?琉??낆쐠?
752,male factory worker type 6,"['male', 'factory', 'worker', 'type']",?維?琉??낆쐠?
753,female factory worker,"['female', 'factory', 'worker']",?維??낆쐠?
754,female factory worker type 1 2,"['female', 'factory', 'worker', 'type']",?維?琉??낆쐠?
755,female factory worker type 3,"['female', 'factory', 'worker', 'type']",?維?琉??낆쐠?
756,female factory worker type 4,"['female', 'factory', 'worker', 'type']",?維?琉??낆쐠?
757,female factory worker type 5,"['female', 'factory', 'worker', 'type']",?維?琉??낆쐠?
758,female factory worker type 6,"['female', 'factory', 'worker', 'type']",?維?琉??낆쐠?
759,male office worker,"['male', 'office', 'worker']",?維??낆쐥?
760,male office worker type 1 2,"['male', 'office', 'worker', 'type']",?維?琉??낆쐥?
761,male office worker type 3,"['male', 'office', 'worker', 'type']",?維?琉??낆쐥?
762,male office worker type 4,"['male', 'office', 'worker', 'type']",?維?琉??낆쐥?
763,male office worker type 5,"['male', 'office', 'worker', 'type']",?維?琉??낆쐥?
764,male office worker type 6,"['male', 'office', 'worker', 'type']",?維?琉??낆쐥?
765,female office worker,"['female', 'office', 'worker']",?維??낆쐥?
766,female office worker type 1 2,"['female', 'office', 'worker', 'type']",?維?琉??낆쐥?
767,female office worker type 3,"['female', 'office', 'worker', 'type']",?維?琉??낆쐥?
768,female office worker type 4,"['female', 'office', 'worker', 'type']",?維?琉??낆쐥?
769,female office worker type 5,"['female', 'office', 'worker', 'type']",?維?琉??낆쐥?
770,female office worker type 6,"['female', 'office', 'worker', 'type']",?維?琉??낆쐥?
771,male scientist,"['male', 'scientist']",?維??낆쐨?
772,male scientist type 1 2,"['male', 'scientist', 'type']",?維?琉??낆쐨?
773,male scientist type 3,"['male', 'scientist', 'type']",?維?琉??낆쐨?
774,male scientist type 4,"['male', 'scientist', 'type']",?維?琉??낆쐨?
775,male scientist type 5,"['male', 'scientist', 'type']",?維?琉??낆쐨?
776,male scientist type 6,"['male', 'scientist', 'type']",?維?琉??낆쐨?
777,female scientist,"['female', 'scientist']",?維??낆쐨?
778,female scientist type 1 2,"['female', 'scientist', 'type']",?維?琉??낆쐨?
779,female scientist type 3,"['female', 'scientist', 'type']",?維?琉??낆쐨?
780,female scientist type 4,"['female', 'scientist', 'type']",?維?琉??낆쐨?
781,female scientist type 5,"['female', 'scientist', 'type']",?維?琉??낆쐨?
782,female scientist type 6,"['female', 'scientist', 'type']",?維?琉??낆쐨?
783,male technologist,"['male', 'technologist']",?維??낆쐥?
784,male technologist type 1 2,"['male', 'technologist', 'type']",?維?琉??낆쐥?
785,male technologist type 3,"['male', 'technologist', 'type']",?維?琉??낆쐥?
786,male technologist type 4,"['male', 'technologist', 'type']",?維?琉??낆쐥?
787,male technologist type 5,"['male', 'technologist', 'type']",?維?琉??낆쐥?
788,male technologist type 6,"['male', 'technologist', 'type']",?維?琉??낆쐥?
789,female technologist,"['female', 'technologist']",?維??낆쐥?
790,female technologist type 1 2,"['female', 'technologist', 'type']",?維?琉??낆쐥?
791,female technologist type 3,"['female', 'technologist', 'type']",?維?琉??낆쐥?
792,female technologist type 4,"['female', 'technologist', 'type']",?維?琉??낆쐥?
793,female technologist type 5,"['female', 'technologist', 'type']",?維?琉??낆쐥?
794,female technologist type 6,"['female', 'technologist', 'type']",?維?琉??낆쐥?
795,male singer,"['male', 'singer']",?維??낆쐝?
796,male singer type 1 2,"['male', 'singer', 'type']",?維?琉??낆쐝?
797,male singer type 3,"['male', 'singer', 'type']",?維?琉??낆쐝?
798,male singer type 4,"['male', 'singer', 'type']",?維?琉??낆쐝?
799,male singer type 5,"['male', 'singer', 'type']",?維?琉??낆쐝?
800,male singer type 6,"['male', 'singer', 'type']",?維?琉??낆쐝?
801,female singer,"['female', 'singer']",?維??낆쐝?
802,female singer type 1 2,"['female', 'singer', 'type']",?維?琉??낆쐝?
803,female singer type 3,"['female', 'singer', 'type']",?維?琉??낆쐝?
804,female singer type 4,"['female', 'singer', 'type']",?維?琉??낆쐝?
805,female singer type 5,"['female', 'singer', 'type']",?維?琉??낆쐝?
806,female singer type 6,"['female', 'singer', 'type']",?維?琉??낆쐝?
807,male artist,"['male', 'artist']",?維??낆쐝?
808,male artist type 1 2,"['male', 'artist', 'type']",?維?琉??낆쐝?
809,male artist type 3,"['male', 'artist', 'type']",?維?琉??낆쐝?
810,male artist type 4,"['male', 'artist', 'type']",?維?琉??낆쐝?
811,male artist type 5,"['male', 'artist', 'type']",?維?琉??낆쐝?
812,male artist type 6,"['male', 'artist', 'type']",?維?琉??낆쐝?
813,female artist,"['female', 'artist']",?維??낆쐝?
814,female artist type 1 2,"['female', 'artist', 'type']",?維?琉??낆쐝?
815,female artist type 3,"['female', 'artist', 'type']",?維?琉??낆쐝?
816,female artist type 4,"['female', 'artist', 'type']",?維?琉??낆쐝?
817,female artist type 5,"['female', 'artist', 'type']",?維?琉??낆쐝?
818,female artist type 6,"['female', 'artist', 'type']",?維?琉??낆쐝?
819,male pilot,['pilot'],?維???맊??
820,male pilot type 1 2,"['male', 'pilot', 'type']",?維?琉???맊??
821,male pilot type 3,"['male', 'pilot', 'type']",?維?琉???맊??
822,male pilot type 4,"['male', 'pilot', 'type']",?維?琉???맊??
823,male pilot type 5,"['male', 'pilot', 'type']",?維?琉???맊??
824,male pilot type 6,"['male', 'pilot', 'type']",?維?琉???맊??
825,female pilot,"['female', 'pilot']",?維???맊??
826,female pilot type 1 2,"['female', 'pilot', 'type']",?維?琉???맊??
827,female pilot type 3,"['female', 'pilot', 'type']",?維?琉???맊??
828,female pilot type 4,"['female', 'pilot', 'type']",?維?琉???맊??
829,female pilot type 5,"['female', 'pilot', 'type']",?維?琉???맊??
830,female pilot type 6,"['female', 'pilot', 'type']",?維?琉???맊??
831,male astronaut,"['male', 'astronaut']",?維??낆쐯?
832,male astronaut type 1 2,"['male', 'astronaut', 'type']",?維?琉??낆쐯?
833,male astronaut type 3,"['male', 'astronaut', 'type']",?維?琉??낆쐯?
834,male astronaut type 4,"['male', 'astronaut', 'type']",?維?琉??낆쐯?
835,male astronaut type 5,"['male', 'astronaut', 'type']",?維?琉??낆쐯?
836,male astronaut type 6,"['male', 'astronaut', 'type']",?維?琉??낆쐯?
837,female astronaut,"['female', 'astronaut']",?維??낆쐯?
838,female astronaut type 1 2,"['female', 'astronaut', 'type']",?維?琉??낆쐯?
839,female astronaut type 3,"['female', 'astronaut', 'type']",?維?琉??낆쐯?
840,female astronaut type 4,"['female', 'astronaut', 'type']",?維?琉??낆쐯?
